 kvkey |             kvts              |                 kvname                 |             kvvalue              |   kvseq   | kvpvmi |        kvpvname        | kvro |  kvmotion  |           kvmd2cmd           | kvstn | kvdbrtype |  kvnotify   
  7528 | 2011-07-18 14:42:36.145892-05 | stns.2.align.z.largeStep               | 0.01                             |   8846514 |        |                        | t    |            |                              |     2 |         6 | 
  7513 | 2011-07-18 14:42:36.145892-05 | stns.2.align.z.maxPosition             | 2.65                             |   8846514 |        |                        | t    |            |                              |     2 |         6 | 
  7509 | 2011-07-18 14:42:36.145892-05 | stns.2.align.z.minPosition             | -2.748                           |   8846514 |        |                        | t    |            |                              |     2 |         6 | 
  7508 | 2011-07-18 14:42:36.145892-05 | stns.2.align.z.moveMode                | translation                      |   8846514 |        |                        | t    |            |                              |     2 |         3 | 
  7533 | 2011-07-18 14:42:36.145892-05 | stns.2.align.z.name                    | align.z                          |   8846514 |        |                        | t    |            |                              |     2 |         0 | 
  7535 | 2012-02-02 13:16:28.644983-06 | stns.2.align.z.negLimitSet             | 0                                |  49695545 |        |                        | t    |            |                              |     2 |         6 | 
  7538 | 2012-11-27 16:02:28.307664-06 | stns.2.align.z.position                | 3.210                            | 101263889 |        |                        | t    |            | moveAbs align.z              |     2 |         6 | 
  7526 | 2012-02-02 13:16:28.644983-06 | stns.2.align.z.posLimitSet             | 0                                |  49695545 |        |                        | t    |            |                              |     2 |         6 | 
  7519 | 2011-07-18 14:42:36.145892-05 | stns.2.align.z.presets.length          | 0                                |   8846514 |        |                        | t    |            |                              |     2 |         1 | {}
  7531 | 2011-07-18 14:42:36.145892-05 | stns.2.align.z.printPrecision          | 4                                |   8846514 |        |                        | t    |            |                              |     2 |         1 | 
  7522 | 2011-07-18 14:42:36.145892-05 | stns.2.align.z.smallStep               | 0.001                            |   8846514 |        |                        | t    |            |                              |     2 |         6 | 
  8356 | 2012-11-27 16:25:05.481706-06 | stns.2.appy                            | 0.117                            | 101263913 |        |                        | t    |            |                              |     2 |         0 | 
  6547 | 2011-07-20 12:42:07.581085-05 | stns.2.appy.canHome                    | true                             |   9330118 |        |                        | t    |            |                              |     2 |         3 | 
  7270 | 2011-07-18 09:11:24.520242-05 | stns.2.appy.canMove                    | true                             |   5493676 |        |                        | t    |            |                              |     2 |         3 | 
  6555 | 2011-07-20 12:42:07.581085-05 | stns.2.appy.canStop                    | true                             |   9330118 |        |                        | t    |            |                              |     2 |         3 | 
  6356 | 2012-06-01 15:25:42.217558-05 | stns.2.appy.currentPreset              | 0                                |  70411545 |        |                        | t    |            |                              |     2 |         1 | 
  7564 | 2012-05-31 11:38:14.17695-05  | stns.2.appy.inPosition                 | true                             |  70183304 |        |                        | t    |            |                              |     2 |         3 | 
  6308 | 2011-07-18 09:11:24.520242-05 | stns.2.appy.largeStep                  | 0.02                             |   4195155 |        |                        | t    |            |                              |     2 |         6 | 
  6241 | 2011-07-18 09:11:24.520242-05 | stns.2.appy.maxPosition                | 1.45                             |   4195155 |        |                        | t    |            |                              |     2 |         6 | 
  6232 | 2011-07-18 09:11:24.520242-05 | stns.2.appy.minPosition                | -1.596                           |   4195155 |        |                        | t    |            |                              |     2 |         6 | 
  6244 | 2011-07-18 09:11:24.520242-05 | stns.2.appy.moveMode                   | translation                      |   4195155 |        |                        | t    |            |                              |     2 |         3 | 
  6253 | 2011-07-18 09:11:24.520242-05 | stns.2.appy.name                       | appy                             |   4195155 |        |                        | t    |            |                              |     2 |         0 | 
  6363 | 2012-02-02 13:16:28.644983-06 | stns.2.appy.negLimitSet                | 0                                |  49695545 |        |                        | t    |            |                              |     2 |         6 | 
  6254 | 2012-11-27 16:25:05.481706-06 | stns.2.appy.position                   | 0.117                            | 101263913 |        |                        | t    |            | moveAbs appy                 |     2 |         6 | 
  6229 | 2012-02-02 13:16:28.644983-06 | stns.2.appy.posLimitSet                | 0                                |  49695545 |        |                        | t    |            |                              |     2 |         6 | 
  6321 | 2011-07-18 09:11:24.520242-05 | stns.2.appy.presets.0.canTune          | 1                                |   4195155 |        |                        | t    |            |                              |     2 |         6 | {}
  6319 | 2011-07-18 09:11:24.520242-05 | stns.2.appy.presets.0.name             | In                               |   4195155 |        |                        | t    |            |                              |     2 |         0 | {id21e_kvs}
  6343 | 2011-07-18 09:11:24.520242-05 | stns.2.appy.presets.0.position         | 0.117                            |   4195155 |        |                        | t    |            |                              |     2 |         6 | {id21e_kvs}
  6262 | 2011-07-18 09:11:24.520242-05 | stns.2.appy.presets.length             | 1                                |   4195155 |        |                        | t    |            |                              |     2 |         1 | {}
  6463 | 2011-07-18 09:11:24.520242-05 | stns.2.appy.printPrecision             | 4                                |   4195155 |        |                        | t    |            |                              |     2 |         1 | 
  6357 | 2011-07-18 09:11:24.520242-05 | stns.2.appy.smallStep                  | 0.002                            |   4195155 |        |                        | t    |            |                              |     2 |         6 | 
